Product_ID,Product_Name,Brand,Category,Sub_Category,Material,Unit_Cost,Selling_Price,MRP,Warranty_Years
PROD5045,UrbanNest Sofa Model 45,CasaAura,Furniture,Sofa,Metal,10891.82,21308.45,24504.72,2
PROD5046,IndiCasa Wardrobe Model 46,CasaNova,Furniture,Wardrobe,Fabric,3291.94,4988.14,5736.36,1
PROD5047,HabiNest Cookware Set Model 47,SpaceCraft,Kitchen & Dining,Cookware Set,Wood,2240.14,5343.51,6145.04,3
PROD5048,DesiCraft Plastic Box Model 48,Nestora,Storage & Organisation,Plastic Box,Plastic,19492.5,37151.09,42723.75,1
PROD5049,Roomify Desk Lamp Model 49,SpaceCraft,Lighting,Table Lamp,Metal,9492.94,14839.57,17065.51,3
PROD5050,VastuLiving Plastic Box Model 50,VastuLiving,Storage & Organisation,Plastic Box,Fabric,7455.93,15125.62,17394.46,0
PROD5051,CasaAura Cookware Set Model 51,HabiNest,Kitchen & Dining,Cookware Set,Wood,7362.67,13941.34,16032.54,0
PROD5052,InHome Curtain Model 52,DesiCraft,Bedding & Furnishings,Curtain,Glass,11504.04,22923.69,26362.24,0
PROD5053,IndiCasa Pillow Model 53,Nestora,Bedding & Furnishings,Pillow,Metal,8895.97,13561.38,15595.59,1
PROD5054,VastuLiving Plastic Box Model 54,Decoria,Storage & Organisation,Plastic Box,Metal,10108.5,15595.68,17935.03,2
PROD5055,Livora Wardrobe Model 55,HomeSphere,Furniture,Wardrobe,Fabric,5377.56,12545.93,14427.82,2
PROD5056,Livora Ceiling Light Model 56,UrbanNest,Lighting,Ceiling Light,Glass,9219.64,13883.91,15966.5,0
PROD5057,CasaNova Dinnerware Model 57,Nestora,Kitchen & Dining,Dinnerware,Plastic,11275.12,19123.32,21991.82,2
PROD5058,Livora Dining Desk Model 58,Nestora,Furniture,Dining Table,Metal,1526.39,2577.07,2963.63,2
PROD5059,IndiCasa Sofa Model 59,CasaAura,Furniture,Sofa,Plastic,5572.47,13226.3,15210.24,3
PROD5060,AuraHome Cookware Set Model 60,HomeSphere,Kitchen & Dining,Cookware Set,Metal,12033.16,18556.42,21339.88,1
PROD5061,Furnivo Desk Lamp Model 61,CasaNova,Lighting,Table Lamp,Fabric,10134.93,22012.96,25314.9,0
PROD5062,SpaceCraft Cookware Set Model 62,CasaAura,Kitchen & Dining,Cookware Set,Fabric,4558.94,10694.61,12298.8,1
PROD5063,Nestora Storage Cabinet Model 63,CasaAura,Storage & Organisation,Storage Cabinet,Glass,11376.84,24930.54,28670.12,0
PROD5064,CasaAura Storage Cabinet Model 64,Decoria,Storage & Organisation,Storage Cabinet,Plastic,15503.52,25809.17,29680.55,1
PROD5065,CasaNova Decor Accents Model 65,Roomify,Home Decor,Decor Accents,Metal,701.12,1636.15,1881.57,0
PROD5066,VastuLiving Ceiling Light Model 66,HomeSphere,Lighting,Ceiling Light,Wood,16798.5,26501.65,30476.9,0
PROD5067,Furnivo Doormat Model 67,HomeSphere,Home Utility,Doormat,Glass,19158.27,41095.88,47260.26,1
PROD5068,Nestora Cookware Set Model 68,Nestora,Kitchen & Dining,Cookware Set,Plastic,8233.52,19470.82,22391.44,0
PROD5069,VastuLiving Cookware Set Model 69,BharatLiving,Kitchen & Dining,Cookware Set,Fabric,15054.56,34700.41,39905.47,2
PROD5070,CasaAura Mirror Model 70,InHome,Home Decor,Mirror,Plastic,10892.15,17586.49,20224.46,1
PROD5071,HabiNest Decor Accents Model 71,UrbanNest,Home Decor,Decor Accents,Wood,17225.2,34593.63,39782.67,0
PROD5072,HomeSphere Sofa Model 72,Furnivo,Furniture,Sofa,Metal,12668.44,18210.02,20941.52,3
PROD5073,AuraHome Decor Accents Model 73,AuraHome,Home Decor,Decor Accents,Plastic,9158.29,20230.83,23265.45,2
PROD5074,Furnivo Pillow Model 74,Decoria,Bedding & Furnishings,Pillow,Fabric,9520.56,15329.86,17629.34,3
PROD5075,HomeSphere Bed Model 75,AuraHome,Furniture,Bed,Fabric,8008.31,17697.38,20351.99,2
PROD5076,HabiNest Clock Model 76,DesiCraft,Home Decor,Clock,Wood,17971.64,25797.74,29667.4,2
PROD5077,Livora Ironing Board Model 77,AuraHome,Home Utility,Ironing Board,Metal,14091.79,23329,26828.35,1
PROD5078,Nestora Bed Model 78,AuraHome,Furniture,Bed,Fabric,15296.02,34278.8,39420.62,3
PROD5079,AuraHome Sofa Model 79,IndiCasa,Furniture,Sofa,Wood,16896.55,39967.77,45962.94,1
PROD5080,InHome Dinnerware Model 80,Roomify,Kitchen & Dining,Dinnerware,Metal,4543.82,6783.47,7800.99,3
PROD5081,HomeSphere Clock Model 81,Zenvilla,Home Decor,Clock,Glass,17593.12,27727.94,31887.13,1
PROD5082,DesiCraft Storage Cabinet Model 82,UrbanNest,Storage & Organisation,Storage Cabinet,Glass,3025.21,4670.99,5371.64,3
PROD5083,HomeSphere Doormat Model 83,AuraHome,Home Utility,Doormat,Fabric,3385.89,6372.96,7328.9,1
PROD5084,CasaNova Ironing Board Model 84,BharatLiving,Home Utility,Ironing Board,Fabric,17458.06,33897.74,38982.4,0
PROD5085,SpaceCraft Step Ladder Model 85,HabiNest,Home Utility,Step Ladder,Metal,11118.1,15757.68,18121.33,2
PROD5086,Livora Storage Container Model 86,Decoria,Kitchen & Dining,Storage Container,Fabric,8320.43,13561.68,15595.93,0
PROD5087,VastuLiving Storage Cabinet Model 87,Decoria,Storage & Organisation,Storage Cabinet,Fabric,7953.03,18523.17,21301.65,0
PROD5088,Livora TV Unit Model 88,SpaceCraft,Furniture,TV Unit,Fabric,18178.49,29569.99,34005.49,0
PROD5089,Nestora Ceiling Light Model 89,VastuLiving,Lighting,Ceiling Light,Glass,18225.37,33559.61,38593.55,0
PROD5090,Furnivo Mirror Model 90,Nestora,Home Decor,Mirror,Wood,2764.98,5767.24,6632.33,1
PROD5091,BharatLiving Cookware Set Model 91,InHome,Kitchen & Dining,Cookware Set,Metal,8581.75,14995.18,17244.46,3
PROD5092,CasaAura Ceiling Light Model 92,IndiCasa,Lighting,Ceiling Light,Metal,3664.06,7091.85,8155.63,2
PROD5093,InHome Desk Lamp Model 93,Zenvilla,Lighting,Table Lamp,Plastic,18580.24,39124.18,44992.81,2
PROD5094,HabiNest Comforter Model 94,Livora,Bedding & Furnishings,Comforter,Fabric,8993.83,19587.68,22525.83,2
PROD5095,Zenvilla Modular Shelf Model 95,CasaAura,Storage & Organisation,Modular Shelf,Glass,854.46,1898.02,2182.72,2
PROD5096,SpaceCraft Desk Lamp Model 96,UrbanNest,Lighting,Table Lamp,Metal,16148,31306.13,36002.05,0
PROD5097,Livora Wardrobe Model 97,VastuLiving,Furniture,Wardrobe,Wood,6074.27,11998.93,13798.77,3
PROD5098,HomeSphere Floor Lamp Model 98,Roomify,Lighting,Floor Lamp,Wood,18245.64,33748.26,38810.5,3
PROD5099,InHome Bedsheet Model 99,IndiCasa,Bedding & Furnishings,Bedsheet,Metal,6657.3,15375.29,17681.58,2
PROD5100,Livora Bedsheet Model 100,CasaAura,Bedding & Furnishings,Bedsheet,Plastic,5921.04,14150.96,16273.6,0
PROD5101,Zenvilla Bedsheet Model 101,Furnivo,Bedding & Furnishings,Bedsheet,Metal,1690.47,3434.59,3949.78,2
PROD5102,Nestora Ceiling Light Model 102,BharatLiving,Lighting,Ceiling Light,Fabric,4024.12,8089.94,9303.43,1
PROD5103,SpaceCraft Sofa Model 103,Zenvilla,Furniture,Sofa,Fabric,19374.43,29090.78,33454.4,1
PROD5104,IndiCasa Ironing Board Model 104,DesiCraft,Home Utility,Ironing Board,Glass,3142.48,6651.57,7649.31,3
PROD5105,CasaNova Ceiling Light Model 105,VastuLiving,Lighting,Ceiling Light,Metal,6902.8,13233,15217.95,1
PROD5106,CasaAura Dinnerware Model 106,Furnivo,Kitchen & Dining,Dinnerware,Fabric,2221.5,4937.56,5678.19,0
PROD5107,Livora Floor Lamp Model 107,DesiCraft,Lighting,Floor Lamp,Plastic,16637.01,28140.77,32361.89,1
PROD5108,DesiCraft Clock Model 108,SpaceCraft,Home Decor,Clock,Fabric,1764.42,3642.67,4189.07,2
PROD5109,Nestora Dining Desk Model 109,VastuLiving,Furniture,Dining Table,Glass,13995.83,20236.85,23272.38,1
PROD5110,SpaceCraft Wardrobe Model 110,SpaceCraft,Furniture,Wardrobe,Plastic,19927.1,42575.39,48961.7,0
PROD5111,VastuLiving Storage Container Model 111,Decoria,Kitchen & Dining,Storage Container,Metal,9120.33,19944.31,22935.96,1
PROD5112,DesiCraft Dinnerware Model 112,HomeSphere,Kitchen & Dining,Dinnerware,Metal,11552.93,16910.06,19446.57,3
PROD5113,CasaAura Dining Desk Model 113,DesiCraft,Furniture,Dining Table,Plastic,12802.37,28035.24,32240.53,2
PROD5114,BharatLiving Ceiling Light Model 114,DesiCraft,Lighting,Ceiling Light,Metal,12555.3,28973.1,33319.06,3
PROD5115,Livora Comforter Model 115,Zenvilla,Bedding & Furnishings,Comforter,Wood,19860.07,40168.8,46194.12,1
PROD5116,Roomify Mirror Model 116,CasaNova,Home Decor,Mirror,Wood,14878.29,32292.32,37136.17,3
PROD5117,CasaAura Wall Art Model 117,Furnivo,Home Decor,Wall Art,Plastic,18222.62,34671.26,39871.95,1
PROD5118,Roomify Wall Art Model 118,BharatLiving,Home Decor,Wall Art,Metal,8085.59,14066.33,16176.28,3
PROD5119,Furnivo Ironing Board Model 119,VastuLiving,Home Utility,Ironing Board,Glass,9149.7,20098.15,23112.87,3
PROD5120,Livora Comforter Model 120,UrbanNest,Bedding & Furnishings,Comforter,Plastic,14743.33,24214.68,27846.88,3
PROD5121,HomeSphere Storage Cabinet Model 121,Zenvilla,Storage & Organisation,Storage Cabinet,Fabric,19667.07,34880.5,40112.57,1
PROD5122,UrbanNest Ceiling Light Model 122,Livora,Lighting,Ceiling Light,Fabric,18786.86,29813.53,34285.56,0
PROD5123,Decoria TV Unit Model 123,Zenvilla,Furniture,TV Unit,Wood,6462.23,14794.16,17013.28,2
PROD5124,AuraHome Modular Shelf Model 124,CasaNova,Storage & Organisation,Modular Shelf,Fabric,7293.4,14020.03,16123.03,3
PROD5125,BharatLiving Comforter Model 125,VastuLiving,Bedding & Furnishings,Comforter,Fabric,3000.96,4441.54,5107.77,3
PROD5126,AuraHome Desk Lamp Model 126,HomeSphere,Lighting,Table Lamp,Fabric,1725.15,3421.89,3935.17,0
PROD5127,CasaAura Ceiling Light Model 127,UrbanNest,Lighting,Ceiling Light,Plastic,7868.27,11148.03,12820.23,1
PROD5128,SpaceCraft Floor Lamp Model 128,UrbanNest,Lighting,Floor Lamp,Glass,1700.27,3380.29,3887.33,1
PROD5129,IndiCasa Comforter Model 129,DesiCraft,Bedding & Furnishings,Comforter,Metal,1087.99,2353.91,2707,0
PROD5130,DesiCraft Step Ladder Model 130,Nestora,Home Utility,Step Ladder,Fabric,2968.98,5512.91,6339.85,1
PROD5131,HomeSphere Modular Shelf Model 131,InHome,Storage & Organisation,Modular Shelf,Metal,13642.07,23807.56,27378.69,2
PROD5132,Livora Ceiling Light Model 132,HabiNest,Lighting,Ceiling Light,Fabric,9818.66,15340.37,17641.43,1
PROD5133,SpaceCraft Pillow Model 133,CasaNova,Bedding & Furnishings,Pillow,Metal,9404.45,21435.81,24651.18,1
PROD5134,AuraHome TV Unit Model 134,Zenvilla,Furniture,TV Unit,Glass,3542.46,5831.61,6706.35,0
PROD5135,Livora Wall Art Model 135,IndiCasa,Home Decor,Wall Art,Wood,13218.5,31146.38,35818.34,0
PROD5136,HabiNest Plastic Box Model 136,BharatLiving,Storage & Organisation,Plastic Box,Wood,2113.56,4845.06,5571.82,2
PROD5137,DesiCraft Curtain Model 137,InHome,Bedding & Furnishings,Curtain,Metal,17010.45,30731.68,35341.43,0
PROD5138,Nestora Pillow Model 138,Nestora,Bedding & Furnishings,Pillow,Fabric,12064.53,23331.74,26831.5,1
PROD5139,Nestora Ironing Board Model 139,Nestora,Home Utility,Ironing Board,Metal,6618.59,9735.37,11195.68,0
PROD5140,HomeSphere Pillow Model 140,Roomify,Bedding & Furnishings,Pillow,Plastic,3088.67,4535.55,5215.88,3
PROD5141,Livora Dinnerware Model 141,DesiCraft,Kitchen & Dining,Dinnerware,Plastic,8050.52,16180.51,18607.59,1
PROD5142,BharatLiving Bed Model 142,DesiCraft,Furniture,Bed,Plastic,13086.48,21866.9,25146.94,3
PROD5143,Zenvilla Pillow Model 143,SpaceCraft,Bedding & Furnishings,Pillow,Glass,14128.75,22951.88,26394.66,3
PROD5144,Furnivo Modular Shelf Model 144,SpaceCraft,Storage & Organisation,Modular Shelf,Metal,14751.21,24156.08,27779.49,3
PROD5145,VastuLiving Desk Lamp Model 145,InHome,Lighting,Table Lamp,Metal,917.71,2058.7,2367.5,1
PROD5146,Nestora Decor Accents Model 146,Decoria,Home Decor,Decor Accents,Plastic,15924.29,22920.14,26358.16,1
PROD5147,SpaceCraft Floor Lamp Model 147,Furnivo,Lighting,Floor Lamp,Metal,19745.41,33611.61,38653.35,0
PROD5148,BharatLiving Doormat Model 148,SpaceCraft,Home Utility,Doormat,Metal,2482.85,4550.22,5232.75,2
PROD5149,HabiNest Clock Model 149,CasaNova,Home Decor,Clock,Fabric,14450.74,29075.57,33436.91,3
PROD5150,Furnivo Ironing Board Model 150,Roomify,Home Utility,Ironing Board,Wood,7404.61,11957.68,13751.33,1
PROD5151,Furnivo Plastic Box Model 151,HomeSphere,Storage & Organisation,Plastic Box,Wood,9737.96,18107.17,20823.25,1
PROD5152,Livora Curtain Model 152,Furnivo,Bedding & Furnishings,Curtain,Fabric,1323.63,2277.42,2619.03,3
PROD5153,HabiNest Cookware Set Model 153,Decoria,Kitchen & Dining,Cookware Set,Plastic,10731.25,20960.03,24104.03,1
PROD5154,Nestora Doormat Model 154,VastuLiving,Home Utility,Doormat,Plastic,12905.37,28496.33,32770.78,1
PROD5155,Furnivo Floor Lamp Model 155,Roomify,Lighting,Floor Lamp,Glass,8023.24,16153.08,18576.04,2
PROD5156,Nestora Wall Art Model 156,DesiCraft,Home Decor,Wall Art,Metal,6950.27,16578.88,19065.71,0
PROD5157,DesiCraft Floor Lamp Model 157,Furnivo,Lighting,Floor Lamp,Glass,8030.94,12492.45,14366.32,2
PROD5158,CasaAura Dinnerware Model 158,BharatLiving,Kitchen & Dining,Dinnerware,Glass,13011.11,25160.28,28934.32,2
PROD5159,HabiNest Plastic Box Model 159,AuraHome,Storage & Organisation,Plastic Box,Plastic,10488.62,24154.44,27777.61,3
PROD5160,Decoria Floor Lamp Model 160,HomeSphere,Lighting,Floor Lamp,Wood,8274.29,19831.94,22806.73,1
PROD5161,Zenvilla Mirror Model 161,HabiNest,Home Decor,Mirror,Glass,4894.55,7610.1,8751.61,0
PROD5162,Decoria Doormat Model 162,Furnivo,Home Utility,Doormat,Metal,10770.14,17977.62,20674.26,0
PROD5163,Livora Ceiling Light Model 163,IndiCasa,Lighting,Ceiling Light,Wood,7862.14,17679.35,20331.25,0
PROD5164,Decoria Cookware Set Model 164,BharatLiving,Kitchen & Dining,Cookware Set,Fabric,19657.79,40365.2,46419.98,3
PROD5165,UrbanNest Cookware Set Model 165,HomeSphere,Kitchen & Dining,Cookware Set,Plastic,12762.79,26053.54,29961.57,2
PROD5166,Zenvilla Clock Model 166,Nestora,Home Decor,Clock,Wood,12839.66,20687.96,23791.15,0
PROD5167,Decoria Wardrobe Model 167,CasaNova,Furniture,Wardrobe,Fabric,1523.68,3005.56,3456.39,0
PROD5168,CasaNova Clock Model 168,BharatLiving,Home Decor,Clock,Fabric,19038.58,37718.24,43375.98,2
PROD5169,HomeSphere Desk Lamp Model 169,Livora,Lighting,Table Lamp,Fabric,3354.84,6871,7901.65,2
PROD5170,Nestora Storage Cabinet Model 170,BharatLiving,Storage & Organisation,Storage Cabinet,Glass,5029.22,8857.77,10186.44,2
PROD5171,InHome Plastic Box Model 171,Nestora,Storage & Organisation,Plastic Box,Wood,16641.73,24564.88,28249.61,0
PROD5172,Decoria Cookware Set Model 172,DesiCraft,Kitchen & Dining,Cookware Set,Glass,17304.19,27958.23,32151.96,3
PROD5173,CasaAura Study Desk Model 173,SpaceCraft,Furniture,Study Table,Metal,1002.9,1800.73,2070.84,2
PROD5174,BharatLiving Wall Art Model 174,Zenvilla,Home Decor,Wall Art,Plastic,715.11,1155.26,1328.55,1
PROD5175,CasaAura Mirror Model 175,CasaAura,Home Decor,Mirror,Metal,12616.78,27109.97,31176.47,1
PROD5176,VastuLiving Ironing Board Model 176,AuraHome,Home Utility,Ironing Board,Wood,7361.81,14630.74,16825.35,2
PROD5177,CasaAura Modular Shelf Model 177,CasaAura,Storage & Organisation,Modular Shelf,Metal,16373.48,31064.7,35724.4,3
PROD5178,Furnivo Floor Lamp Model 178,AuraHome,Lighting,Floor Lamp,Fabric,18651.33,37793.21,43462.19,0
PROD5179,Zenvilla Curtain Model 179,InHome,Bedding & Furnishings,Curtain,Wood,10635.14,23812.22,27384.05,1
PROD5180,BharatLiving Decor Accents Model 180,SpaceCraft,Home Decor,Decor Accents,Plastic,3045.42,4978.83,5725.65,1
PROD5181,UrbanNest Ceiling Light Model 181,HabiNest,Lighting,Ceiling Light,Wood,1729.04,3930.29,4519.83,3
PROD5182,UrbanNest Storage Cabinet Model 182,Nestora,Storage & Organisation,Storage Cabinet,Fabric,10576.29,17009.65,19561.1,1
PROD5183,Decoria Decor Accents Model 183,Zenvilla,Home Decor,Decor Accents,Fabric,9936.12,21277.16,24468.73,1
PROD5184,Furnivo Plastic Box Model 184,Livora,Storage & Organisation,Plastic Box,Plastic,19139.72,44539.45,51220.37,0
PROD5185,DesiCraft Dinnerware Model 185,HomeSphere,Kitchen & Dining,Dinnerware,Wood,7517.56,12273.35,14114.35,3
PROD5186,Roomify Decor Accents Model 186,CasaNova,Home Decor,Decor Accents,Plastic,10941.73,21644.28,24890.92,1
PROD5187,CasaNova Doormat Model 187,Nestora,Home Utility,Doormat,Metal,18389.48,34947.73,40189.89,1
PROD5188,InHome Clock Model 188,Zenvilla,Home Decor,Clock,Metal,18158.63,39766.18,45731.11,3
PROD5189,CasaNova Decor Accents Model 189,HomeSphere,Home Decor,Decor Accents,Plastic,17570.56,40006.78,46007.8,2
PROD5190,SpaceCraft Storage Container Model 190,DesiCraft,Kitchen & Dining,Storage Container,Metal,9783.07,20367.42,23422.53,3
PROD5191,HomeSphere Doormat Model 191,SpaceCraft,Home Utility,Doormat,Glass,14685.97,27580.52,31717.6,0
PROD5192,CasaNova Floor Lamp Model 192,AuraHome,Lighting,Floor Lamp,Metal,15234.57,26251.32,30189.02,0
PROD5193,Zenvilla Comforter Model 193,BharatLiving,Bedding & Furnishings,Comforter,Wood,7754.74,12446.99,14314.04,1
PROD5194,Nestora Plastic Box Model 194,HabiNest,Storage & Organisation,Plastic Box,Fabric,19587.71,29973.56,34469.59,0
PROD5195,Zenvilla Storage Container Model 195,AuraHome,Kitchen & Dining,Storage Container,Fabric,9046.71,13330.88,15330.51,1
PROD5196,BharatLiving Desk Lamp Model 196,VastuLiving,Lighting,Table Lamp,Fabric,7638.71,15377.55,17684.18,3
PROD5197,Furnivo Doormat Model 197,Nestora,Home Utility,Doormat,Fabric,9310.71,13918.52,16006.3,1
PROD5198,VastuLiving TV Unit Model 198,Livora,Furniture,TV Unit,Fabric,11090.9,23290.44,26784.01,1
PROD5199,UrbanNest Storage Cabinet Model 199,BharatLiving,Storage & Organisation,Storage Cabinet,Plastic,19364.74,35613.12,40955.09,3
PROD5200,HomeSphere Mirror Model 200,DesiCraft,Home Decor,Mirror,Fabric,13826.59,28852.18,33180.01,0
PROD5201,Roomify Sofa Model 201,BharatLiving,Furniture,Sofa,Wood,8489.6,16390.27,18848.81,1
PROD5202,SpaceCraft Pillow Model 202,Roomify,Bedding & Furnishings,Pillow,Glass,4557.77,6930.95,7970.59,3
PROD5203,InHome Plastic Box Model 203,Livora,Storage & Organisation,Plastic Box,Plastic,2670.27,5207.02,5988.07,2
PROD5204,DesiCraft Ceiling Light Model 204,InHome,Lighting,Ceiling Light,Fabric,3144.99,6266.31,7206.26,0
PROD5205,DesiCraft Clock Model 205,Nestora,Home Decor,Clock,Fabric,18181.59,40916.8,47054.32,2
PROD5206,SpaceCraft Desk Lamp Model 206,SpaceCraft,Lighting,Table Lamp,Wood,13765.36,30371.83,34927.6,1
PROD5207,Decoria Dining Desk Model 207,VastuLiving,Furniture,Dining Table,Wood,6233,11557.95,13291.64,1
PROD5208,VastuLiving TV Unit Model 208,Nestora,Furniture,TV Unit,Wood,17913.19,27191.99,31270.79,1
PROD5209,VastuLiving Pillow Model 209,Furnivo,Bedding & Furnishings,Pillow,Glass,19622.36,35178.96,40455.8,2
PROD5210,InHome Ironing Board Model 210,Zenvilla,Home Utility,Ironing Board,Metal,5811.19,11429.53,13143.96,2
PROD5211,InHome Cookware Set Model 211,Roomify,Kitchen & Dining,Cookware Set,Plastic,8992.73,14633.89,16828.97,3
PROD5212,CasaAura Curtain Model 212,Furnivo,Bedding & Furnishings,Curtain,Fabric,15278.23,25564.09,29398.7,1
PROD5213,VastuLiving Curtain Model 213,Zenvilla,Bedding & Furnishings,Curtain,Metal,10742.85,15122.69,17391.09,0
PROD5214,SpaceCraft Step Ladder Model 214,Zenvilla,Home Utility,Step Ladder,Glass,17032.93,26743.09,30754.55,1
PROD5215,BharatLiving Wall Art Model 215,Furnivo,Home Decor,Wall Art,Glass,5705.12,10666.46,12266.43,3
PROD5216,Zenvilla Modular Shelf Model 216,HabiNest,Storage & Organisation,Modular Shelf,Metal,1360.42,2605.5,2996.32,3
PROD5217,Decoria Doormat Model 217,Zenvilla,Home Utility,Doormat,Metal,19178.54,42625.91,49019.8,2
PROD5218,Roomify Step Ladder Model 218,SpaceCraft,Home Utility,Step Ladder,Plastic,14704.04,26835.88,30861.26,1
PROD5219,CasaAura Storage Container Model 219,BharatLiving,Kitchen & Dining,Storage Container,Wood,1826.55,4010.1,4611.61,0
