Order_ID,Payment_Date,Payment_ID,Payment_Method,Promotion_Type,Coupon_Code,Tax_Amount,Installment_Flag,Number_of_Installments,Interest_Rate_Percent,Financing_Provider,Payment_Status,Refund_Flag
ORD00000075,16-03-2022,PAY00000075,Buy Now Pay Later,Seasonal Offer,SAVE10,1314.4704,Yes,12,0,Store Partner,Completed,No
ORD00000076,17-03-2022,PAY00000076,Store Financing,Seasonal Offer,SAVE10,3892.7704,Yes,12,12.5,Store Partner,Completed,No
ORD00000077,18-03-2022,PAY00000077,Store Financing,No Promotion,,6454.7664,Yes,12,12.5,Store Partner,Completed,No
ORD00000078,19-03-2022,PAY00000078,Credit Card,Seasonal Offer,SAVE10,1137.9784,No,0,0,,Completed,No
ORD00000079,20-03-2022,PAY00000079,Store Financing,No Promotion,,8660.9632,Yes,12,12.5,Store Partner,Completed,No
ORD00000080,21-03-2022,PAY00000080,Store Financing,No Promotion,,6034.7352,Yes,12,12.5,Store Partner,Completed,No
ORD00000081,22-03-2022,PAY00000081,Store Financing,Seasonal Offer,SAVE10,3728.08,Yes,12,12.5,Store Partner,Completed,No
ORD00000082,23-03-2022,PAY00000082,Buy Now Pay Later,No Promotion,,1355.6184,Yes,12,0,Store Partner,Completed,No
ORD00000083,24-03-2022,PAY00000083,Store Financing,Seasonal Offer,SAVE10,5717.7368,Yes,12,12.5,Store Partner,Completed,No
ORD00000084,25-03-2022,PAY00000084,Store Financing,Seasonal Offer,SAVE10,8535.1768,Yes,12,12.5,Store Partner,Completed,No
ORD00000085,26-03-2022,PAY00000085,Buy Now Pay Later,Seasonal Offer,SAVE10,1977.316,Yes,12,0,Store Partner,Completed,No
ORD00000086,27-03-2022,PAY00000086,Store Financing,No Promotion,,2768.6992,Yes,12,12.5,Store Partner,Completed,No
ORD00000087,28-03-2022,PAY00000087,Store Financing,Seasonal Offer,SAVE10,3195.4608,Yes,12,12.5,Store Partner,Completed,No
ORD00000088,29-03-2022,PAY00000088,Store Financing,Seasonal Offer,SAVE10,4224.2272,Yes,12,12.5,Store Partner,Completed,No
ORD00000089,30-03-2022,PAY00000089,Credit Card,Seasonal Offer,SAVE10,843.924,No,0,0,,Completed,No
ORD00000090,31-03-2022,PAY00000090,Gift Card,No Promotion,,523.568,No,0,0,,Completed,No
ORD00000091,01-04-2022,PAY00000091,Store Financing,Seasonal Offer,SAVE10,5609.8328,Yes,12,12.5,Store Partner,Completed,No
ORD00000092,02-04-2022,PAY00000092,Store Financing,No Promotion,,2505.5736,Yes,12,12.5,Store Partner,Completed,No
ORD00000093,03-04-2022,PAY00000093,Store Financing,Seasonal Offer,SAVE10,3271.2912,Yes,12,12.5,Store Partner,Completed,No
ORD00000094,04-04-2022,PAY00000094,Buy Now Pay Later,Seasonal Offer,SAVE10,1353.5232,Yes,12,0,Store Partner,Completed,No
ORD00000095,05-04-2022,PAY00000095,Store Financing,Seasonal Offer,SAVE10,11267.764,Yes,12,12.5,Store Partner,Completed,No
ORD00000096,06-04-2022,PAY00000096,Store Financing,Seasonal Offer,SAVE10,8074.1488,Yes,12,12.5,Store Partner,Completed,No
ORD00000097,07-04-2022,PAY00000097,Store Financing,No Promotion,,2501.7576,Yes,12,12.5,Store Partner,Completed,No
ORD00000098,08-04-2022,PAY00000098,Store Financing,Seasonal Offer,SAVE10,6441.4136,Yes,12,12.5,Store Partner,Completed,No
ORD00000099,09-04-2022,PAY00000099,Buy Now Pay Later,No Promotion,,1421,Yes,12,0,Store Partner,Completed,No
ORD00000100,10-04-2022,PAY00000100,Store Financing,Seasonal Offer,SAVE10,11122.0416,Yes,12,12.5,Store Partner,Completed,No
ORD00000101,11-04-2022,PAY00000101,Buy Now Pay Later,Seasonal Offer,SAVE10,1416.1496,Yes,12,0,Store Partner,Completed,No
ORD00000102,12-04-2022,PAY00000102,Store Financing,Seasonal Offer,SAVE10,7880.388,Yes,12,12.5,Store Partner,Completed,No
ORD00000103,13-04-2022,PAY00000103,Buy Now Pay Later,No Promotion,,2336.8848,Yes,12,0,Store Partner,Completed,No
ORD00000104,14-04-2022,PAY00000104,Buy Now Pay Later,Seasonal Offer,SAVE10,1424.796,Yes,12,0,Store Partner,Completed,No
ORD00000105,15-04-2022,PAY00000105,Store Financing,Seasonal Offer,SAVE10,3512.0848,Yes,12,12.5,Store Partner,Completed,No
ORD00000106,16-04-2022,PAY00000106,Store Financing,Seasonal Offer,SAVE10,8284.0976,Yes,12,12.5,Store Partner,Completed,No
ORD00000107,17-04-2022,PAY00000107,Store Financing,Seasonal Offer,SAVE10,3460.6336,Yes,12,12.5,Store Partner,Completed,No
ORD00000108,18-04-2022,PAY00000108,Store Financing,Seasonal Offer,SAVE10,4542.0224,Yes,12,12.5,Store Partner,Completed,No
ORD00000109,19-04-2022,PAY00000109,Buy Now Pay Later,Seasonal Offer,SAVE10,2096.044,Yes,12,0,Store Partner,Completed,No
ORD00000110,20-04-2022,PAY00000110,Store Financing,Seasonal Offer,SAVE10,6241.8312,Yes,12,12.5,Store Partner,Completed,No
ORD00000111,21-04-2022,PAY00000111,Store Financing,Seasonal Offer,SAVE10,5072.236,Yes,12,12.5,Store Partner,Completed,No
ORD00000112,22-04-2022,PAY00000112,Credit Card,Seasonal Offer,SAVE10,669.0568,No,0,0,,Completed,No
ORD00000113,23-04-2022,PAY00000113,Gift Card,No Promotion,,475.0944,No,0,0,,Completed,No
ORD00000114,24-04-2022,PAY00000114,Buy Now Pay Later,Seasonal Offer,SAVE10,2067.1576,Yes,12,0,Store Partner,Completed,No
ORD00000115,25-04-2022,PAY00000115,Store Financing,No Promotion,,7148.8056,Yes,12,12.5,Store Partner,Completed,No
ORD00000116,26-04-2022,PAY00000116,Store Financing,No Promotion,,5713.6096,Yes,12,12.5,Store Partner,Completed,No
ORD00000117,27-04-2022,PAY00000117,Buy Now Pay Later,Seasonal Offer,SAVE10,1545.2408,Yes,12,0,Store Partner,Completed,No
ORD00000118,28-04-2022,PAY00000118,Buy Now Pay Later,Seasonal Offer,SAVE10,1866.4016,Yes,12,0,Store Partner,Completed,No
ORD00000119,29-04-2022,PAY00000119,Store Financing,Seasonal Offer,SAVE10,2684.0968,Yes,12,12.5,Store Partner,Completed,No
ORD00000120,30-04-2022,PAY00000120,Store Financing,No Promotion,,3660.768,Yes,12,12.5,Store Partner,Completed,No
ORD00000121,01-05-2022,PAY00000121,Buy Now Pay Later,Seasonal Offer,SAVE10,1681.9968,Yes,12,0,Store Partner,Completed,No
ORD00000122,02-05-2022,PAY00000122,Credit Card,Seasonal Offer,SAVE10,742.6784,No,0,0,,Completed,No
ORD00000123,03-05-2022,PAY00000123,Store Financing,No Promotion,,2464.592,Yes,12,12.5,Store Partner,Completed,No
ORD00000124,04-05-2022,PAY00000124,Credit Card,Seasonal Offer,SAVE10,1016.2688,No,0,0,,Completed,No
ORD00000125,05-05-2022,PAY00000125,Store Financing,Seasonal Offer,SAVE10,3230.4224,Yes,12,12.5,Store Partner,Completed,No
ORD00000126,06-05-2022,PAY00000126,Store Financing,Seasonal Offer,SAVE10,5884.2032,Yes,12,12.5,Store Partner,Completed,No
ORD00000127,07-05-2022,PAY00000127,Buy Now Pay Later,Seasonal Offer,SAVE10,1376.9408,Yes,12,0,Store Partner,Completed,No
ORD00000128,08-05-2022,PAY00000128,Store Financing,Seasonal Offer,SAVE10,5191.268,Yes,12,12.5,Store Partner,Completed,No
ORD00000129,09-05-2022,PAY00000129,Credit Card,Seasonal Offer,SAVE10,741.7584,No,0,0,,Completed,No
ORD00000130,10-05-2022,PAY00000130,Store Financing,Seasonal Offer,SAVE10,5287.9352,Yes,12,12.5,Store Partner,Completed,No
ORD00000131,11-05-2022,PAY00000131,Store Financing,Seasonal Offer,SAVE10,3063.52,Yes,12,12.5,Store Partner,Completed,No
ORD00000132,12-05-2022,PAY00000132,Credit Card,Seasonal Offer,SAVE10,692.0304,No,0,0,,Completed,No
ORD00000133,13-05-2022,PAY00000133,Store Financing,No Promotion,,2539.9872,Yes,12,12.5,Store Partner,Completed,No
ORD00000134,14-05-2022,PAY00000134,Store Financing,Seasonal Offer,SAVE10,5921.4896,Yes,12,12.5,Store Partner,Completed,No
ORD00000135,15-05-2022,PAY00000135,Store Financing,Seasonal Offer,SAVE10,6301.0912,Yes,12,12.5,Store Partner,Completed,No
ORD00000136,16-05-2022,PAY00000136,Buy Now Pay Later,No Promotion,,2127.5104,Yes,12,0,Store Partner,Completed,No
ORD00000137,17-05-2022,PAY00000137,Buy Now Pay Later,Seasonal Offer,SAVE10,2017.24,Yes,12,0,Store Partner,Completed,No
ORD00000138,18-05-2022,PAY00000138,Buy Now Pay Later,Seasonal Offer,SAVE10,2220.7216,Yes,12,0,Store Partner,Completed,No
ORD00000139,19-05-2022,PAY00000139,Store Financing,No Promotion,,3653.3376,Yes,12,12.5,Store Partner,Completed,No
ORD00000140,20-05-2022,PAY00000140,Buy Now Pay Later,Seasonal Offer,SAVE10,1880.9712,Yes,12,0,Store Partner,Completed,No
ORD00000141,21-05-2022,PAY00000141,Credit Card,Seasonal Offer,SAVE10,761.7456,No,0,0,,Completed,No
ORD00000142,22-05-2022,PAY00000142,Store Financing,No Promotion,,12002.8672,Yes,12,12.5,Store Partner,Completed,No
ORD00000143,23-05-2022,PAY00000143,Credit Card,Seasonal Offer,SAVE10,943.488,No,0,0,,Completed,No
ORD00000144,24-05-2022,PAY00000144,Store Financing,Seasonal Offer,SAVE10,9487.8584,Yes,12,12.5,Store Partner,Completed,No
ORD00000145,25-05-2022,PAY00000145,Store Financing,No Promotion,,3567.2768,Yes,12,12.5,Store Partner,Completed,No
ORD00000146,26-05-2022,PAY00000146,Store Financing,Seasonal Offer,SAVE10,8474.4928,Yes,12,12.5,Store Partner,Completed,No
ORD00000147,27-05-2022,PAY00000147,Store Financing,Seasonal Offer,SAVE10,2968.4432,Yes,12,12.5,Store Partner,Completed,No
ORD00000148,28-05-2022,PAY00000148,Buy Now Pay Later,No Promotion,,2148.3968,Yes,12,0,Store Partner,Completed,No
ORD00000149,29-05-2022,PAY00000149,Store Financing,Seasonal Offer,SAVE10,2435.0488,Yes,12,12.5,Store Partner,Completed,No
ORD00000150,30-05-2022,PAY00000150,Credit Card,Seasonal Offer,SAVE10,1181.5088,No,0,0,,Completed,No
ORD00000151,31-05-2022,PAY00000151,Buy Now Pay Later,No Promotion,,2367.1216,Yes,12,0,Store Partner,Completed,No
ORD00000152,01-06-2022,PAY00000152,Store Financing,Seasonal Offer,SAVE10,8805.6936,Yes,12,12.5,Store Partner,Completed,No
ORD00000153,02-06-2022,PAY00000153,Credit Card,No Promotion,,1028.5744,No,0,0,,Completed,No
ORD00000154,03-06-2022,PAY00000154,Buy Now Pay Later,Seasonal Offer,SAVE10,1722.3544,Yes,12,0,Store Partner,Completed,No
ORD00000155,04-06-2022,PAY00000155,Store Financing,Seasonal Offer,SAVE10,4875.9456,Yes,12,12.5,Store Partner,Completed,No
ORD00000156,05-06-2022,PAY00000156,Store Financing,Seasonal Offer,SAVE10,6650.608,Yes,12,12.5,Store Partner,Completed,No
ORD00000157,06-06-2022,PAY00000157,Buy Now Pay Later,Seasonal Offer,SAVE10,1936.7472,Yes,12,0,Store Partner,Completed,No
ORD00000158,07-06-2022,PAY00000158,Store Financing,Seasonal Offer,SAVE10,4291.9592,Yes,12,12.5,Store Partner,Completed,No
ORD00000159,08-06-2022,PAY00000159,Buy Now Pay Later,No Promotion,,1883.5616,Yes,12,0,Store Partner,Completed,No
ORD00000160,09-06-2022,PAY00000160,Buy Now Pay Later,No Promotion,,2322.704,Yes,12,0,Store Partner,Completed,No
ORD00000161,10-06-2022,PAY00000161,Buy Now Pay Later,Seasonal Offer,SAVE10,1359.9064,Yes,12,0,Store Partner,Completed,No
ORD00000162,11-06-2022,PAY00000162,Buy Now Pay Later,Seasonal Offer,SAVE10,1567.8248,Yes,12,0,Store Partner,Completed,No
ORD00000163,12-06-2022,PAY00000163,Store Financing,Seasonal Offer,SAVE10,9289.5784,Yes,12,12.5,Store Partner,Completed,No
ORD00000164,13-06-2022,PAY00000164,Credit Card,Seasonal Offer,SAVE10,680.8008,No,0,0,,Completed,No
ORD00000165,14-06-2022,PAY00000165,Store Financing,Seasonal Offer,SAVE10,2539.9696,Yes,12,12.5,Store Partner,Completed,No
ORD00000166,15-06-2022,PAY00000166,Credit Card,Seasonal Offer,SAVE10,830.192,No,0,0,,Completed,No
ORD00000167,16-06-2022,PAY00000167,Store Financing,Seasonal Offer,SAVE10,2453.2672,Yes,12,12.5,Store Partner,Completed,No
ORD00000168,17-06-2022,PAY00000168,Buy Now Pay Later,No Promotion,,1267.2312,Yes,12,0,Store Partner,Completed,No
ORD00000169,18-06-2022,PAY00000169,Store Financing,No Promotion,,3916.9872,Yes,12,12.5,Store Partner,Completed,No
ORD00000170,19-06-2022,PAY00000170,Store Financing,No Promotion,,7568.5704,Yes,12,12.5,Store Partner,Completed,No
ORD00000171,20-06-2022,PAY00000171,Credit Card,Seasonal Offer,SAVE10,979.9216,No,0,0,,Completed,No
ORD00000172,21-06-2022,PAY00000172,Store Financing,Seasonal Offer,SAVE10,6741.2576,Yes,12,12.5,Store Partner,Completed,No
ORD00000173,22-06-2022,PAY00000173,Gift Card,No Promotion,,430.8288,No,0,0,,Completed,No
ORD00000174,23-06-2022,PAY00000174,Buy Now Pay Later,Seasonal Offer,SAVE10,1284.6192,Yes,12,0,Store Partner,Completed,No
ORD00000175,24-06-2022,PAY00000175,Store Financing,No Promotion,,5827.2064,Yes,12,12.5,Store Partner,Completed,No
ORD00000176,25-06-2022,PAY00000176,Store Financing,Seasonal Offer,SAVE10,6053.4368,Yes,12,12.5,Store Partner,Completed,No
ORD00000177,26-06-2022,PAY00000177,Store Financing,Seasonal Offer,SAVE10,3872.5192,Yes,12,12.5,Store Partner,Completed,No
ORD00000178,27-06-2022,PAY00000178,Gift Card,Seasonal Offer,SAVE10,408.1704,No,0,0,,Completed,No
ORD00000179,28-06-2022,PAY00000179,Store Financing,Seasonal Offer,SAVE10,2912.0544,Yes,12,12.5,Store Partner,Completed,No
ORD00000180,29-06-2022,PAY00000180,Store Financing,Seasonal Offer,SAVE10,6833.7464,Yes,12,12.5,Store Partner,Completed,No
ORD00000181,30-06-2022,PAY00000181,Store Financing,No Promotion,,6872.9408,Yes,12,12.5,Store Partner,Completed,No
ORD00000182,01-07-2022,PAY00000182,Store Financing,Seasonal Offer,SAVE10,4742.6224,Yes,12,12.5,Store Partner,Completed,No
ORD00000183,02-07-2022,PAY00000183,Store Financing,Seasonal Offer,SAVE10,3400.544,Yes,12,12.5,Store Partner,Completed,No
ORD00000184,03-07-2022,PAY00000184,Store Financing,Seasonal Offer,SAVE10,2420.2448,Yes,12,12.5,Store Partner,Completed,No
ORD00000185,04-07-2022,PAY00000185,Store Financing,Seasonal Offer,SAVE10,7794.536,Yes,12,12.5,Store Partner,Completed,No
ORD00000186,05-07-2022,PAY00000186,Store Financing,Seasonal Offer,SAVE10,8104.5416,Yes,12,12.5,Store Partner,Completed,No
ORD00000187,06-07-2022,PAY00000187,Buy Now Pay Later,No Promotion,,1251.8592,Yes,12,0,Store Partner,Completed,No
ORD00000188,07-07-2022,PAY00000188,Store Financing,No Promotion,,2621.4624,Yes,12,12.5,Store Partner,Completed,No
ORD00000189,08-07-2022,PAY00000189,Credit Card,No Promotion,,941.6136,No,0,0,,Completed,No
ORD00000190,09-07-2022,PAY00000190,Store Financing,Seasonal Offer,SAVE10,2725.2416,Yes,12,12.5,Store Partner,Completed,No
ORD00000191,10-07-2022,PAY00000191,Store Financing,Seasonal Offer,SAVE10,10688.8256,Yes,12,12.5,Store Partner,Completed,No
ORD00000192,11-07-2022,PAY00000192,Store Financing,Seasonal Offer,SAVE10,6142.5992,Yes,12,12.5,Store Partner,Completed,No
ORD00000193,12-07-2022,PAY00000193,Credit Card,Seasonal Offer,SAVE10,645.1056,No,0,0,,Completed,No
ORD00000194,13-07-2022,PAY00000194,Buy Now Pay Later,Seasonal Offer,SAVE10,1568.772,Yes,12,0,Store Partner,Completed,No
ORD00000195,14-07-2022,PAY00000195,Store Financing,Seasonal Offer,SAVE10,4599.62,Yes,12,12.5,Store Partner,Completed,No
ORD00000196,15-07-2022,PAY00000196,Store Financing,Seasonal Offer,SAVE10,8302.1304,Yes,12,12.5,Store Partner,Completed,No
ORD00000197,16-07-2022,PAY00000197,Gift Card,Seasonal Offer,SAVE10,576.1112,No,0,0,,Completed,No
ORD00000198,17-07-2022,PAY00000198,Store Financing,No Promotion,,12884.064,Yes,12,12.5,Store Partner,Completed,No
ORD00000199,18-07-2022,PAY00000199,Credit Card,Seasonal Offer,SAVE10,989.6632,No,0,0,,Completed,No
ORD00000200,19-07-2022,PAY00000200,Store Financing,No Promotion,,3642.9376,Yes,12,12.5,Store Partner,Completed,No
ORD00000201,20-07-2022,PAY00000201,Buy Now Pay Later,No Promotion,,1356.3768,Yes,12,0,Store Partner,Completed,No
ORD00000202,21-07-2022,PAY00000202,Store Financing,Seasonal Offer,SAVE10,2873.4808,Yes,12,12.5,Store Partner,Completed,No
ORD00000203,22-07-2022,PAY00000203,Store Financing,Seasonal Offer,SAVE10,9139.8272,Yes,12,12.5,Store Partner,Completed,No
ORD00000204,23-07-2022,PAY00000204,Buy Now Pay Later,Seasonal Offer,SAVE10,1238.9008,Yes,12,0,Store Partner,Completed,No
ORD00000205,24-07-2022,PAY00000205,Buy Now Pay Later,No Promotion,,2221.6576,Yes,12,0,Store Partner,Completed,No
ORD00000206,25-07-2022,PAY00000206,Store Financing,Seasonal Offer,SAVE10,3006.5224,Yes,12,12.5,Store Partner,Completed,No
ORD00000207,26-07-2022,PAY00000207,Gift Card,Seasonal Offer,SAVE10,453.0008,No,0,0,,Completed,No
ORD00000208,27-07-2022,PAY00000208,Buy Now Pay Later,Seasonal Offer,SAVE10,1424.7448,Yes,12,0,Store Partner,Completed,No
ORD00000209,28-07-2022,PAY00000209,Buy Now Pay Later,No Promotion,,1985.4744,Yes,12,0,Store Partner,Completed,No
ORD00000210,29-07-2022,PAY00000210,Digital Wallet,Seasonal Offer,SAVE10,320.9272,No,0,0,,Completed,No
